SIZE-3year,GR-PROFIT-MARGIN-3year,CAPITAL-EMPLOYED-TURNOVER-3year,STOCKHOLDERS-EQUITY-TURNOVER-3year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-3year,DEBT/EQUITY-3year,EQUITY/CAPITAL-EMPLOYED-3year,WORKING-CAPITAL/TOTAL-ASSETS-3year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-3year,AV-PAYMENT-PERIOD-3year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-3year,SCALED-CHANGE-ASSETS-2year,SIZE-2year,CH.NET-INCOME-2year,GR-PROFIT-MARGIN-2year,CAPITAL-EMPLOYED-TURNOVER-2year,STOCKHOLDERS-EQUITY-TURNOVER-2year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-2year,DEBT/EQUITY-2year,EQUITY/CAPITAL-EMPLOYED-2year,WORKING-CAPITAL/TOTAL-ASSETS-2year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-2year,AV-PAYMENT-PERIOD-2year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-2year,SCALED-CHANGE-ASSETS,SIZE,CH.NET-INCOME,GR-PROFIT-MARGIN,CAPITAL-EMPLOYED-TURNOVER,STOCKHOLDERS-EQUITY-TURNOVER,CAPITAL-EMPLOYED/NET-FIXED-ASSETS,DEBT/EQUITY,EQUITY/CAPITAL-EMPLOYED,WORKING-CAPITAL/TOTAL-ASSETS,AV-COLLECTION-PERIOD-FOR-RECIEVABLES,AV-PAYMENT-PERIOD,AV-TURNOVER-PERIOD-FOR-INVENTORIES,final
14.997842,26.528375,4.808706,4.830064,1.198913,1.92615,0.995578,-0.042221,99.925413,85.53366,12.888469,-0.184298,14.624984,-0.794303,33.318787,12.452136,12.452136,0.36449,8.512545,1,-0.366946,115.916514,184.283304,65.635897,0.083827,14.793032,1,30.661923,6.364604,10.673666,0.568786,9.220887,0.59629,-0.283328,170.779031,190.01679,50.931167,Bankrupted
13.842263,26.339612,1.266739,1.266739,2.544519,0.80045,1,0.243414,38.214938,288.497873,481.479454,0.30118,14.463898,-0.421017,22.721954,1.073585,1.073587,1.188867,3.09578,0.999998,-0.034715,117.850255,625.019908,899.339808,-0.16559,14.129641,-1,-186.922891,-1.498828,-1.498828,-0.609284,-6.225204,1,-0.699734,141.760388,429.855704,226.32467,Bankrupted
15.23283,38.3538,3.239799,3.325871,0.723852,3.120688,0.974121,-0.123641,171.66614,394.884841,121.032998,0.122699,15.47947,-0.188811,35.847769,4.397309,4.397309,0.729162,3.988451,1,-0.119119,210.121082,219.562664,127.789579,0.164101,15.810667,0.148814,35.477538,5.279883,5.279879,0.837147,5.387471,1.000001,-0.077737,233.119407,214.270124,166.228921,Bankrupted
13.324138,-82.093163,11.149663,11.165419,1.747242,3.236004,0.998589,0.111951,37.570418,43.979762,23.491716,0.002294,13.328725,0.218889,-161.512856,-4.056589,-4.056589,-0.580076,-10.075424,1,-0.321188,330.502788,264.261923,81.796399,0.551711,14.5704,-0.481047,-155.456276,24.219039,31.663331,0.194119,43.77232,0.764892,-0.147223,176.033527,121.106912,68.334447,Bankrupted
12.920208,66.498853,2.095835,9.45019,8.793342,6.546564,0.221777,0.29798,8.180254,0,0,0.121264,13.163935,-0.637182,99.12727,0.711761,5.659361,10.110135,7.377801,0.125767,0.609281,5.073186,0,8065.209003,0.153971,13.474346,0.629428,88.689134,1.400479,10.632329,3.511616,10.302746,0.131719,0.289493,29.980651,466.644355,16.002918,Bankrupted
14.737367,3.029591,13.845304,13.845337,1.666012,5.112318,0.999998,0.058795,87.668024,122.286888,47.956521,0.274565,15.300955,0.351211,8.055369,8.402794,8.579168,2.3083,4.37012,0.979442,0.092216,167.41952,36.68991,21.345271,0.205611,15.718124,0.138882,20.603722,7.886243,8.022105,1.32214,5.372211,0.983064,0.013587,179.457263,77.551649,80.457288,Bankrupted
12.571295,48.953856,26.240844,26.240844,1.530695,4.001903,1,0.04199,10.662499,0,0,0.230288,13.040283,-0.26841,57.782429,20.12837,20.12837,1.884505,6.791334,1,0.011637,21.445337,60.249586,0,-0.017407,13.005465,-1,42.923039,-472.198011,-472.198011,-0.093792,-209.969711,1,-0.138048,58.978575,39.852634,0,Bankrupted
9.729313,5.29695,0.037077,0.037077,7.944681,0,1,0.87038,5186.749599,0,0,0.915855,12.85469,1,24.384268,32.996016,32.996016,1.794666,19.477081,1,0.017879,137.82367,186.865834,22.579622,0.194154,13.247991,-0.129561,45.562995,30.296662,30.296662,0.511624,21.614523,1,-0.045445,50.767989,420.53997,301.897211,Bankrupted
13.465346,21.081071,10.608037,10.608037,2.800638,7.645738,1,0.047717,193.380524,118.339951,100.188754,-0.131068,13.201694,1,23.244054,9.541112,9.541112,2.461113,5.635468,1,0.05496,193.67036,67.159884,35.564328,-0.026167,13.149348,-1,24.526482,13.272891,13.273198,1.284823,11.090712,0.999977,-0.01916,241.133954,123.842564,62.967969,Bankrupted
13.73385,47.577021,5.79044,5.798661,2.672505,3.497864,0.998582,-0.0593,53.082825,252.062398,299.560352,0.010956,13.755763,-1,47.798882,4.736184,4.831395,1.061529,5.628775,0.980293,-0.190645,62.988764,475.325065,565.872465,0.001136,13.758034,0.058903,35.6461,5.680292,5.680292,0.416098,13.486656,1,-0.374051,0,0,437.977485,Bankrupted
16.409273,21.3059,0.257302,-13.532364,24.694009,-83.318366,-0.019014,0.587538,1672.211982,1026.399745,352.171942,-0.078375,16.2522,0.230776,6.23078,0.315688,-5.189651,21.376668,-29.434902,-0.06083,0.526742,1716.115969,931.169862,0,-0.003994,16.244211,0.742938,24.746336,0.068253,12.09701,22.085058,304.423478,0.005642,0.52754,7962.772752,5158.361625,0,Bankrupted
16.068644,8.840226,-15.864938,-15.10662,-1.100867,-31.531997,1.050198,-0.108848,341.293296,240.89589,6.587773,0.155749,16.382699,1,-36.805629,-14.882265,-13.866985,-1.527576,-63.623296,1.073216,-0.043816,749.263295,270.908288,6.050843,-0.092561,16.197047,-1,18.662131,-12.94226,-12.098752,-1.675513,-49.721795,1.069719,-0.053783,675.101091,435.3962,55.567686,Bankrupted
17.563857,35.068122,0.031532,0.032106,0.969242,0.283199,0.982113,-0.075184,706.076352,2013.784757,153.19427,-0.008626,17.546605,0.207561,60.344209,0.007389,0.007526,0.956577,0.298301,0.981679,-0.08692,3251.105115,18274.89,0,0.017599,17.581806,0.723083,21.937006,0.000066,0.000066,1.216126,0.359553,1,-0.007586,1986690.496,360.628841,199.041768,Bankrupted
15.592639,16.976816,0.994032,1.481663,1.098143,1.307193,0.67089,-0.707476,56.924955,43.71254,186.617256,-0.013972,15.564693,0.261077,11.058113,0.989484,1.376402,1.01002,1.310682,0.718891,-0.810885,63.764711,71.728406,183.129076,0.02765,15.620006,1,14.498536,0.950952,1.176052,1.084171,1.099925,0.808597,-0.792174,116.554632,108.103691,175.045534,Bankrupted
14.129636,16.284638,2.36339,2.624813,71.734242,2.162848,0.900403,0.307115,350.795271,79.83003,100.013418,0.093521,14.317227,0.166264,19.592121,2.010871,2.9153,131.182294,2.887412,0.689765,0.340945,354.532102,106.910398,145.445744,0.15777,14.635425,-0.448989,13.200343,2.139924,3.097373,3.993125,4.312088,0.690883,0.165365,394.165369,133.470583,198.127637,Bankrupted
15.459032,20.307586,9.006494,9.558501,1.32266,5.256145,0.94225,-0.220527,104.261199,107.756543,114.461395,0.165772,15.793665,0.037781,22.056377,5.697579,9.975466,2.767914,7.684554,0.571159,-0.065332,120.53701,123.143895,194.273896,0.04443,15.882584,-0.019822,21.488852,11.12174,15.02793,0.347368,8.008463,0.740071,-0.488918,53.598272,78.75437,83.027122,Bankrupted
14.651543,13.526339,1.690479,1.690478,1.291937,1.524071,1.000001,-0.363396,85.498077,95.569593,171.659408,0.001294,14.654132,-1,9.242327,1.507482,1.507482,1.29996,1.460177,1,-0.376781,131.540879,78.319891,207.906427,0.117642,14.890511,-0.692036,-6.404822,1.718107,1.718107,1.117835,2.797762,1,-0.360345,288.318548,210.228388,159.624162,Bankrupted
15.540541,23.104083,0.566878,0.662084,1.675168,1.040971,0.856201,-0.144475,189.876745,170.526049,390.881036,0.001603,15.543748,-1,-59.223597,0.636374,0.83761,1.477466,1.749036,0.75975,-0.250117,302.806815,155.876873,147.304479,0.067351,15.678654,0.321097,16.848401,0.376608,0.446111,1.720835,1.154971,0.844202,-0.149607,205.42548,253.785377,527.161808,Bankrupted
17.04999,22.93,4.61,4.69,3.25,1.53,0.98,0.142637,115,55,13,0.328041,17.731252,-0.032038,23.13,1.46,1.47,6.51,0.52,0.99,0.476146,130,71,16,0.021204,17.773667,0.068804,18.24,1.35,1.36,6.15,0.57,0.99,0.401465,212,90,27,Non-Bankrupted
10.916415,2.38,7.430792,9.03342,6.307921,5.828191,0.923116,-0.653678,20,100,3,0.304397,11.545131,0.698053,4.46,6.717181,8.380947,10.341332,4.037737,0.86088,-0.300175,18,163,9,0.216736,11.985588,-0.724976,4.46,3.915593,5.800956,10.086011,7.001609,0.846217,-0.174535,17,250,9,Non-Bankrupted
13.4404,12.55,2.04,2.04,3.69,0.28,1,0.571875,246.97897,5446.683763,90,0.019386,13.479177,0.62661,17.62,1.97,1.99,3.5,0.28,0.99,0.564122,240.255592,577.874907,77,0.079873,13.639265,0.033468,19.19,2.2,2.22,2.76,0.5,0.99,0.426998,14535.948961,360.628841,101,Non-Bankrupted
11.565546,93.13,1.48,1.48,16.64,1.13,1,0.43642,268,3616,2323,0.165911,11.900464,0.069082,97.21,1.85,1.85,29.45,1.47,1,0.380086,299,7375,4102,0.124439,12.150639,0.00555,97.84,2.12,2.12,160.12,1.67,1,0.364665,329,9797,4097,Non-Bankrupted
15.206958,11.83,0.31,0.39,1.08,0.63,0.81,0.056956,124,417,166,0.008184,15.223326,0.953927,31.51,0.26,0.39,1.39,0.55,0.67,0.266454,147,69,282,0.015789,15.254906,-0.430542,23.16,0.26,0.38,1.38,0.58,0.67,0.255088,152,99,290,Non-Bankrupted
12.137092,25.208568,0.03,0.03,24.45,5.828191,1,0.958917,246.97897,5446.683763,184.373027,0,12.137092,0,24.39895,0.03,0.03,24.45,4.037737,1,0.958917,240.255592,577.874907,288.081482,-0.005115,12.126862,-1,21.937006,0,0,24.21,7.001609,1,0.957953,14535.948961,360.628841,199.041768,Non-Bankrupted
14.39767,50.05,3.86,3.87,5.95,3.27,1,0.150847,344,189,184.373027,0.089014,14.57617,-0.565157,34.33,2.44,2.44,2.31,1.96,1,0.086461,261,168,288.081482,0.084365,14.745301,0.460807,51.14,3.04,3.04,3.38,1.76,1,0.132598,251,173,199.041768,Non-Bankrupted
16.333511,13.97,2.78,2.82,8.27,2.15,0.99,0.18059,317,212,33,0.05176,16.437124,1,19.5,0.7,1.71,25.11,1.86,0.41,0.500658,319,21,54,-0.265176,15.893789,-1,10.83,0.35,0.52,14.57,0.76,0.67,0.274444,224,79,196,Non-Bankrupted
16.42307,25.68,0.29,0.29,18.53,0.09,1,0.014448,98,77,42,-0.044508,16.333994,-0.559923,23.94,0.36,0.36,21.02,0.06,1,0.026673,23,11,62,-0.263858,15.793492,-0.639268,17.01,0.44,0.44,14.65,0.08,1,0.030852,30,36,54,Non-Bankrupted
14.636128,17.67,23.24,26.04,3.32,11.16,0.89,0.062943,117,102,53,0.006606,14.64934,0.431295,17.73,19.05,19.52,8.8,7.28,0.98,0.108596,103,71,45,0.014411,14.678163,-0.270792,18.44,14.48,15.83,11.18,7.44,0.91,0.116905,117,95,56,Non-Bankrupted
15.35182,6.79,5.41,6.3,40.55,2.13,0.86,0.362783,66,97,58,-0.147141,15.055386,0.476205,10.22,6.95,8.25,52.14,1.24,0.84,0.519509,32,19,36,0.100834,15.257741,-0.330218,13.04,3.18,3.74,23.42,1.45,0.85,0.459798,78,69,91,Non-Bankrupted
14.569778,37.71,81.88,81.87,0.62,95.49,1,-0.011289,210,454,323,-0.064873,14.439849,-0.00555,47.47,27.21,57.1,1.26,83.74,0.48,-0.000536,187,751,598,0.119313,14.679618,0.384975,53.48,59.54,96.65,0.56,106.7,0.62,-0.021071,173,575,448,Non-Bankrupted
14.015868,45.28,1.22,1.63,0.78,1.24,0.75,-0.197244,14,321,184.373027,0.014268,14.044407,-0.715769,33.9,1.14,1.47,0.88,1.11,0.77,-0.109767,15,270,288.081482,-0.117626,13.808061,-1,22.82,0.95,1.2,0.96,0.72,0.79,-0.062464,90,152,199.041768,Non-Bankrupted
14.653429,36.82,1.57,1.61,1.99,0.54,0.98,0.327918,172,58,8,0.097796,14.849648,0.153974,41.47,1.15,1.17,2.92,0.33,0.98,0.500591,198,59,30,0.021412,14.892479,-0.273357,29.84,1.28,1.32,2.73,0.72,0.97,0.378777,183,77,23,Non-Bankrupted
