SIZE-3year,GR-PROFIT-MARGIN-3year,CAPITAL-EMPLOYED-TURNOVER-3year,STOCKHOLDERS-EQUITY-TURNOVER-3year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-3year,DEBT/EQUITY-3year,EQUITY/CAPITAL-EMPLOYED-3year,WORKING-CAPITAL/TOTAL-ASSETS-3year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-3year,AV-PAYMENT-PERIOD-3year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-3year,SCALED-CHANGE-ASSETS-2year,SIZE-2year,CH.NET-INCOME-2year,GR-PROFIT-MARGIN-2year,CAPITAL-EMPLOYED-TURNOVER-2year,STOCKHOLDERS-EQUITY-TURNOVER-2year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-2year,DEBT/EQUITY-2year,EQUITY/CAPITAL-EMPLOYED-2year,WORKING-CAPITAL/TOTAL-ASSETS-2year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-2year,AV-PAYMENT-PERIOD-2year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-2year,final
13.324138,-82.093163,11.149663,11.165419,1.747242,3.236004,0.998589,0.111951,37.570418,43.979762,23.491716,0.002294,13.328725,0.218889,-161.512856,-4.056589,-4.056589,-0.580076,-10.075424,1,-0.321188,330.502788,264.261923,81.796399,Bankrupted
12.920208,66.498853,2.095835,9.45019,8.793342,6.546564,0.221777,0.29798,8.180254,0,0,0.121264,13.163935,-0.637182,99.12727,0.711761,5.659361,10.110135,7.377801,0.125767,0.609281,5.073186,0,8065.209003,Bankrupted
14.737367,3.029591,13.845304,13.845337,1.666012,5.112318,0.999998,0.058795,87.668024,122.286888,47.956521,0.274565,15.300955,0.351211,8.055369,8.402794,8.579168,2.3083,4.37012,0.979442,0.092216,167.41952,36.68991,21.345271,Bankrupted
12.571295,48.953856,26.240844,26.240844,1.530695,4.001903,1,0.04199,10.662499,0,0,0.230288,13.040283,-0.26841,57.782429,20.12837,20.12837,1.884505,6.791334,1,0.011637,21.445337,60.249586,0,Bankrupted
9.729313,5.29695,0.037077,0.037077,7.944681,0,1,0.87038,5186.749599,0,0,0.915855,12.85469,1,24.384268,32.996016,32.996016,1.794666,19.477081,1,0.017879,137.82367,186.865834,22.579622,Bankrupted
13.465346,21.081071,10.608037,10.608037,2.800638,7.645738,1,0.047717,193.380524,118.339951,100.188754,-0.131068,13.201694,1,23.244054,9.541112,9.541112,2.461113,5.635468,1,0.05496,193.67036,67.159884,35.564328,Bankrupted
13.73385,47.577021,5.79044,5.798661,2.672505,3.497864,0.998582,-0.0593,53.082825,252.062398,299.560352,0.010956,13.755763,-1,47.798882,4.736184,4.831395,1.061529,5.628775,0.980293,-0.190645,62.988764,475.325065,565.872465,Bankrupted
16.409273,21.3059,0.257302,-13.532364,24.694009,-83.318366,-0.019014,0.587538,1672.211982,1026.399745,352.171942,-0.078375,16.2522,0.230776,6.23078,0.315688,-5.189651,21.376668,-29.434902,-0.06083,0.526742,1716.115969,931.169862,0,Bankrupted
16.068644,8.840226,-15.864938,-15.10662,-1.100867,-31.531997,1.050198,-0.108848,341.293296,240.89589,6.587773,0.155749,16.382699,1,-36.805629,-14.882265,-13.866985,-1.527576,-63.623296,1.073216,-0.043816,749.263295,270.908288,6.050843,Bankrupted
17.563857,35.068122,0.031532,0.032106,0.969242,0.283199,0.982113,-0.075184,706.076352,2013.784757,153.19427,-0.008626,17.546605,0.207561,60.344209,0.007389,0.007526,0.956577,0.298301,0.981679,-0.08692,3251.105115,18274.89,0,Bankrupted
15.592639,16.976816,0.994032,1.481663,1.098143,1.307193,0.67089,-0.707476,56.924955,43.71254,186.617256,-0.013972,15.564693,0.261077,11.058113,0.989484,1.376402,1.01002,1.310682,0.718891,-0.810885,63.764711,71.728406,183.129076,Bankrupted
14.129636,16.284638,2.36339,2.624813,71.734242,2.162848,0.900403,0.307115,350.795271,79.83003,100.013418,0.093521,14.317227,0.166264,19.592121,2.010871,2.9153,131.182294,2.887412,0.689765,0.340945,354.532102,106.910398,145.445744,Bankrupted
15.459032,20.307586,9.006494,9.558501,1.32266,5.256145,0.94225,-0.220527,104.261199,107.756543,114.461395,0.165772,15.793665,0.037781,22.056377,5.697579,9.975466,2.767914,7.684554,0.571159,-0.065332,120.53701,123.143895,194.273896,Bankrupted
14.651543,13.526339,1.690479,1.690478,1.291937,1.524071,1.000001,-0.363396,85.498077,95.569593,171.659408,0.001294,14.654132,-1,9.242327,1.507482,1.507482,1.29996,1.460177,1,-0.376781,131.540879,78.319891,207.906427,Bankrupted
15.540541,23.104083,0.566878,0.662084,1.675168,1.040971,0.856201,-0.144475,189.876745,170.526049,390.881036,0.001603,15.543748,-1,-59.223597,0.636374,0.83761,1.477466,1.749036,0.75975,-0.250117,302.806815,155.876873,147.304479,Bankrupted
17.04999,22.93,4.61,4.69,3.25,1.53,0.98,0.142637,115,55,13,0.328041,17.731252,-0.032038,23.13,1.46,1.47,6.51,0.52,0.99,0.476146,130,71,16,Non-Bankrupted
10.916415,2.38,7.430792,9.03342,6.307921,5.828191,0.923116,-0.653678,20,100,3,0.304397,11.545131,0.698053,4.46,6.717181,8.380947,10.341332,4.037737,0.86088,-0.300175,18,163,9,Non-Bankrupted
13.4404,12.55,2.04,2.04,3.69,0.28,1,0.571875,246.97897,5446.683763,90,0.019386,13.479177,0.62661,17.62,1.97,1.99,3.5,0.28,0.99,0.564122,240.255592,577.874907,77,Non-Bankrupted
11.565546,93.13,1.48,1.48,16.64,1.13,1,0.43642,268,3616,2323,0.165911,11.900464,0.069082,97.21,1.85,1.85,29.45,1.47,1,0.380086,299,7375,4102,Non-Bankrupted
15.206958,11.83,0.31,0.39,1.08,0.63,0.81,0.056956,124,417,166,0.008184,15.223326,0.953927,31.51,0.26,0.39,1.39,0.55,0.67,0.266454,147,69,282,Non-Bankrupted
12.137092,25.208568,0.03,0.03,24.45,5.828191,1,0.958917,246.97897,5446.683763,184.373027,0,12.137092,0,24.39895,0.03,0.03,24.45,4.037737,1,0.958917,240.255592,577.874907,288.081482,Non-Bankrupted
14.39767,50.05,3.86,3.87,5.95,3.27,1,0.150847,344,189,184.373027,0.089014,14.57617,-0.565157,34.33,2.44,2.44,2.31,1.96,1,0.086461,261,168,288.081482,Non-Bankrupted
16.333511,13.97,2.78,2.82,8.27,2.15,0.99,0.18059,317,212,33,0.05176,16.437124,1,19.5,0.7,1.71,25.11,1.86,0.41,0.500658,319,21,54,Non-Bankrupted
16.42307,25.68,0.29,0.29,18.53,0.09,1,0.014448,98,77,42,-0.044508,16.333994,-0.559923,23.94,0.36,0.36,21.02,0.06,1,0.026673,23,11,62,Non-Bankrupted
14.636128,17.67,23.24,26.04,3.32,11.16,0.89,0.062943,117,102,53,0.006606,14.64934,0.431295,17.73,19.05,19.52,8.8,7.28,0.98,0.108596,103,71,45,Non-Bankrupted
15.35182,6.79,5.41,6.3,40.55,2.13,0.86,0.362783,66,97,58,-0.147141,15.055386,0.476205,10.22,6.95,8.25,52.14,1.24,0.84,0.519509,32,19,36,Non-Bankrupted
14.569778,37.71,81.88,81.87,0.62,95.49,1,-0.011289,210,454,323,-0.064873,14.439849,-0.00555,47.47,27.21,57.1,1.26,83.74,0.48,-0.000536,187,751,598,Non-Bankrupted
14.015868,45.28,1.22,1.63,0.78,1.24,0.75,-0.197244,14,321,184.373027,0.014268,14.044407,-0.715769,33.9,1.14,1.47,0.88,1.11,0.77,-0.109767,15,270,288.081482,Non-Bankrupted
14.653429,36.82,1.57,1.61,1.99,0.54,0.98,0.327918,172,58,8,0.097796,14.849648,0.153974,41.47,1.15,1.17,2.92,0.33,0.98,0.500591,198,59,30,Non-Bankrupted
14.839568,22.42,0.92,0.97,1.71,0.24,0.95,0.347642,188,43,18,0.143561,15.128687,0.530583,35.39,1.18,1.22,1.72,0.25,0.97,0.346695,162,39,16,Non-Bankrupted
16.031355,23.97,1.7,1.71,2.18,0.74,0.99,0.312788,155,89,120,0.041479,16.114362,-0.80552,15.63,1.32,1.32,1.95,0.98,1,0.245314,232,102,184,Non-Bankrupted
13.895047,9.19,40.24,40.24,1.45,9.65,1,0.025859,60,93,30,0.147726,14.192677,-0.27905,9.92,88.41,88.41,0.83,30.18,1,-0.008915,91,120,32,Non-Bankrupted
11.819741,15.77,3.6,3.6,8.43,1.08,1,0.404683,86,41,30,0.09135,12.002952,-0.074765,15.07,3.44,3.44,6.51,1.5,1,0.324683,120,44,20,Non-Bankrupted
15.166849,16.36,2.77,2.77,9.93,1.01,1,0.431058,234,85,184.373027,-0.361557,14.409496,-1,26.57,8.59,8.64,2.32,4.21,0.99,0.071776,151,208,288.081482,Non-Bankrupted
13.413584,0,0.01,0.01,1.02,0.01,1,0.020926,246.97897,5446.683763,184.373027,0.001415,13.416414,0.212132,0,0,0,1.03,0.01,1,0.02981,240.255592,577.874907,288.081482,Non-Bankrupted
12.538207,39.22,1.62,1.62,0.43,2.23,1,-0.408913,129,864,45,-0.093539,12.35058,-1,11.57,2.11,2.11,0.47,1.68,1,-0.428397,56,334,17,Non-Bankrupted
14.541795,29.19,35.48,35.48,1.18,12.06,1,0.004837,11,161,119,0.036727,14.615281,0.080038,31.37,17.97,17.97,3.46,5.57,1,0.101122,14,150,119,Non-Bankrupted
15.300688,31.86,6.69,6.69,0.93,4.45,1,-0.015173,188,172,76,-0.001275,15.298138,0.508972,33.55,7.28,7.28,1.05,4.45,1,0.005903,178,131,61,Non-Bankrupted
15.25076,45.49,0.72,0.74,3.52,0.53,0.97,0.47754,52,144,990,0.001029,15.252819,0.001108,46.07,0.88,0.89,3.46,0.51,0.99,0.471332,61,80,747,Non-Bankrupted
15.716996,13.97,2.63,2.86,0.84,2.02,0.92,-0.068102,73,137,170,0.11818,15.954466,-0.314455,12.45,1.7,2.01,0.83,1.86,0.84,-0.085742,104,183,158,Non-Bankrupted
15.388187,12.9,30.6,35.91,5.7,17.85,0.85,0.050835,150,119,35,-0.041958,15.304223,-0.763716,11.32,23.97,27.89,1.46,15.3,0.86,0.021889,146,113,50,Non-Bankrupted
15.412343,24.43,6.39,8.57,0.13,20.29,0.75,-0.433834,271,115,92,0.01765,15.447647,0.919293,28.7,6.19,6.21,0.1,19.91,1,-0.421718,273,226,112,Non-Bankrupted
13.954661,15.8,4.29,5.02,1.39,4.37,0.85,0.057426,0,0,37,0.153138,14.263366,-0.074516,15.32,6.06,7.35,1.17,6.64,0.82,0.020448,271,151,38,Non-Bankrupted
15.528414,29.49,7.59,8.49,0.99,3.9,0.89,-0.009017,90,93,85,0.067456,15.663531,0.074942,20.39,4.04,5.76,0.82,4.19,0.7,-0.069321,139,94,87,Non-Bankrupted
15.451607,18.84,3.4,3.59,1.07,1.87,0.95,0.025316,154,85,19,0.077138,15.60619,0.149897,16.46,3.43,4.57,1.54,2.12,0.75,0.150162,122,62,20,Non-Bankrupted
